Market,Population,Year,No shopping, In-store,Online,Both
M,M,2020,0.6628657,0.2708492,0.0443,0.0220155
M,M,2030,0.6503365,0.2804453,0.0410,0.0281849
M,M,2040,0.6435963,0.2840994,0.0412,0.0310989
M,M,2050,0.6375688,0.2874083,0.0423,0.0326969
M,H,2020,0.6624054,0.2714975,0.0446,0.0215452
M,H,2030,0.6502919,0.2808139,0.0410,0.0278679
M,H,2040,0.6435418,0.2845749,0.0410,0.0308532
M,H,2050,0.6371372,0.2882545,0.0424,0.0322271
H,M,2020,0.6631071,0.2711111,0.0443,0.0214468
H,M,2030,0.6526773,0.2678231,0.0508,0.028669
H,M,2040,0.6374324,0.2665542,0.0591,0.0369201
H,M,2050,0.6196535,0.2659535,0.0671,0.0472447
H,H,2020,0.6630457,0.271176,0.0443,0.0214637
H,H,2030,0.6532987,0.2676329,0.0509,0.0281445
H,H,2040,0.6390425,0.2657776,0.0586,0.0365551
H,H,2050,0.6201012,0.2656491,0.0675,0.046701
