Type,2020,2030,2040,2050,
21,1,0.6,0.413,0.333333333,0
31,1,0.6,0.413,0.333333333,1
32,1,0.6,0.413,0.333333333,2
41,1,0.6,0.413,0.333333333,3
42,1,0.6,0.413,0.333333333,4
52,1,0.6,0.413,0.333333333,5
53,1,0.761904762,0.571428571,0.419047619,6
61,1,0.761904762,0.571428571,0.419047619,7
62,1,0.761904762,0.571428571,0.419047619,8
Electricity_share_of_Etrucks,1,0.92,0.655,0.41,9
Electricity_share_of_EV,1,0.8,0.47,0.14,10
Electricity_share_of_Commercial,1,0.92,0.655,0.41,11
CO2_Aviation,1,0.723970944,0.355932203,0.12590799,12
Energy_intensity_aviation ,1,1,1,1,13
CO2_per_MJ_Electricity,1,0.301923371,0,0,14
CHI_per_MJ_Electricity,1,0.301923371,0,0,15
DC_per_MJ_Electricity,1,0.301923371,0,0,16
LA_per_MJ_Electricity,1,0.301923371,0,0,17
NYC_per_MJ_Electricity,1,0.301923371,0,0,18
SF_per_MJ_Electricity,1,0.301923371,0,0,19
Energy_Intensity_Paper_Industry ,1,0.89,0.77,0.68,20
CO2_Paper_Industry,1,0.69,0.34,0,21
Energy_Intensity_Warehouse ,1,0.64,0.5,0.39,22
CO2_Warehouse,1,0.52,0.3,0.02,23
